GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109,HD01_VD110,HD02_VD110,HD01_VD111,HD02_VD111,HD01_VD112,HD02_VD112,HD01_VD113,HD02_VD113,HD01_VD114,HD02_VD114,HD01_VD115,HD02_VD115,HD01_VD116,HD02_VD116,HD01_VD117,HD02_VD117,HD01_VD118,HD02_VD118,HD01_VD119,HD02_VD119,HD01_VD120,HD02_VD120,HD01_VD121,HD02_VD121,HD01_VD122,HD02_VD122,HD01_VD123,HD02_VD123,HD01_VD124,HD02_VD124,HD01_VD125,HD02_VD125,HD01_VD126,HD02_VD126,HD01_VD127,HD02_VD127,HD01_VD128,HD02_VD128,HD01_VD129,HD02_VD129,HD01_VD130,HD02_VD130,HD01_VD131,HD02_VD131,HD01_VD132,HD02_VD132,HD01_VD133,HD02_VD133,HD01_VD134,HD02_VD134,HD01_VD135,HD02_VD135,HD01_VD136,HD02_VD136,HD01_VD137,HD02_VD137,HD01_VD138,HD02_VD138,HD01_VD139,HD02_VD139,HD01_VD140,HD02_VD140,HD01_VD141,HD02_VD141,HD01_VD142,HD02_VD142,HD01_VD143,HD02_VD143,HD01_VD144,HD02_VD144,HD01_VD145,HD02_VD145,HD01_VD146,HD02_VD146,HD01_VD147,HD02_VD147,HD01_VD148,HD02_VD148,HD01_VD149,HD02_VD149,HD01_VD150,HD02_VD150,HD01_VD151,HD02_VD151,HD01_VD152,HD02_VD152,HD01_VD153,HD02_VD153,HD01_VD154,HD02_VD154,HD01_VD155,HD02_VD155,HD01_VD156,HD02_VD156,HD01_VD157,HD02_VD157,HD01_VD158,HD02_VD158,HD01_VD159,HD02_VD159,HD01_VD160,HD02_VD160,HD01_VD161,HD02_VD161,HD01_VD162,HD02_VD162,HD01_VD163,HD02_VD163,HD01_VD164,HD02_VD164,HD01_VD165,HD02_VD165,HD01_VD166,HD02_VD166,HD01_VD167,HD02_VD167,HD01_VD168,HD02_VD168,HD01_VD169,HD02_VD169,HD01_VD170,HD02_VD170,HD01_VD171,HD02_VD171,HD01_VD172,HD02_VD172,HD01_VD173,HD02_VD173,HD01_VD174,HD02_VD174,HD01_VD175,HD02_VD175,HD01_VD176,HD02_VD176,HD01_VD177,HD02_VD177,HD01_VD178,HD02_VD178,HD01_VD179,HD02_VD179,HD01_VD180,HD02_VD180,HD01_VD181,HD02_VD181,HD01_VD182,HD02_VD182,HD01_VD183,HD02_VD183,HD01_VD184,HD02_VD184,HD01_VD185,HD02_VD185,HD01_VD186,HD02_VD186,HD01_VD187,HD02_VD187
310M100US10180,10180,"Abilene, TX Metro Area",133854,1108,68464,1390,26781,3109,3597,633,1476,537,8701,1136,3322,1023,3329,1108,1347,484,2090,749,566,293,867,487,1117,582,244,236,125,106,0,218,0,218,30471,2815,26837,3397,0,218,0,218,556,428,2991,800,2065,604,1560,766,2395,781,2344,768,2734,703,3295,847,2576,684,3614,512,2369,472,338,185,3634,982,974,444,0,218,0,218,100,178,1,14,63,110,95,103,365,298,138,132,0,218,86,100,0,218,53,78,73,123,0,218,2660,756,63,124,113,196,231,202,123,155,205,137,212,199,394,265,507,275,73,88,184,201,57,94,360,388,80,101,58,103,2797,682,0,218,0,218,0,218,0,218,5,12,0,218,127,114,43,83,218,210,249,277,344,275,559,332,593,281,659,362,8415,1569,0,218,0,218,298,417,309,216,471,339,901,597,1067,584,1902,534,1483,492,855,455,635,368,349,213,145,131,0,218,65390,1001,16971,1749,2904,483,3086,638,4893,811,2170,583,892,419,374,332,480,309,445,352,455,366,454,289,123,109,416,300,271,296,8,15,31874,2231,28407,2207,0,218,0,218,1070,657,2551,678,2774,542,2391,669,3374,731,3273,630,3218,656,2412,645,2789,653,3142,569,1346,367,67,70,3467,825,1932,685,0,218,196,265,0,218,176,160,310,257,106,142,36,59,423,387,227,250,138,144,40,55,280,259,0,218,0,218,1535,648,0,218,38,66,232,299,245,331,0,218,44,82,89,151,240,259,73,89,6,12,244,318,103,124,207,242,14,28,6762,909,0,218,0,218,0,218,0,218,0,218,0,218,8,14,0,218,174,163,538,450,546,351,1544,463,2292,443,1660,463,9783,1512,0,218,0,218,166,205,389,256,630,378,842,592,1240,518,1013,420,1643,476,1280,522,937,389,1027,394,436,241,180,159
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",246770,845,118700,1260,46049,2821,7294,915,4227,1117,10519,1303,5833,1061,4992,1125,2343,858,3595,1224,2398,717,2360,813,822,391,499,304,975,413,192,187,0,210,56843,2965,52001,3046,0,210,0,210,702,406,1766,659,3990,939,5029,1093,4006,989,5207,849,4657,776,6100,944,5568,791,9376,878,4555,805,1045,497,4842,1160,2502,819,0,210,0,210,0,210,345,497,0,210,283,256,479,431,69,115,273,223,178,221,369,260,421,319,85,120,0,210,2340,862,0,210,160,251,0,210,63,87,332,420,192,192,226,243,46,69,87,148,44,95,352,378,803,425,0,210,35,74,3492,855,0,210,0,210,0,210,0,210,0,210,0,210,281,332,117,134,175,188,44,71,340,265,945,469,786,347,804,430,12316,2032,0,210,0,210,0,210,702,518,988,506,1121,629,1385,695,1470,603,1887,737,2117,871,1028,477,1022,562,566,343,30,58,128070,1291,37007,2904,6352,922,4737,821,7478,972,4054,1083,3272,939,1795,622,2756,1011,1965,722,1057,647,938,515,680,353,1087,476,715,431,121,188,60870,3554,52683,3330,78,124,187,179,1432,587,3144,724,4126,1051,4024,970,5649,1042,6260,825,6110,994,5754,1246,6283,924,6552,919,2902,739,182,168,8187,1478,4350,987,0,210,0,210,343,279,755,535,260,215,436,300,673,365,311,264,244,263,269,280,349,270,678,423,32,51,0,210,3837,1073,0,210,474,487,235,263,500,426,169,217,357,363,734,511,0,210,169,181,0,210,274,296,730,497,195,185,0,210,13626,1624,0,210,0,210,0,210,0,210,216,281,97,163,126,206,360,271,733,437,850,535,1809,688,3770,856,3987,718,1678,551,16567,2128,0,210,0,210,74,134,528,284,1606,666,2277,762,2033,742,1873,600,2677,806,1186,608,1845,688,1907,659,311,204,250,219
310M100US10420,10420,"Akron, OH Metro Area",575781,426,276067,696,98588,3084,14029,388,10818,332,25446,795,14135,1320,7926,1350,5003,1346,5381,1266,5657,983,3523,782,3117,850,1787,621,1094,493,377,208,295,208,139666,3835,129789,3832,0,187,60,94,692,316,5177,1042,9650,1317,11507,1762,12803,1715,14147,1379,17288,1247,14459,1364,15204,1422,17562,1045,8722,821,2518,618,9877,2037,5274,1334,0,187,24,45,0,187,302,300,95,128,1122,769,505,463,995,637,267,253,849,823,496,300,523,468,96,111,0,187,4603,1596,70,110,0,187,373,313,889,665,622,421,127,126,581,467,221,219,883,1105,38,63,161,151,352,287,187,166,99,137,8956,1125,0,187,0,187,0,187,0,187,359,294,148,247,0,187,211,180,328,284,511,345,475,290,1728,589,2899,711,2297,680,28857,2937,0,187,0,187,0,187,399,447,1403,662,2112,702,3478,1088,3736,977,4537,1028,4531,1016,4093,861,3109,819,1084,479,375,334,299714,690,90467,2699,14155,399,11425,502,24091,936,11639,1326,7260,1243,3975,944,3081,781,4243,926,2870,708,2792,803,2285,718,1175,616,972,415,504,408,140377,4683,129156,4779,0,187,97,160,1563,641,6265,1079,10738,1406,10925,1350,13803,1380,14814,1152,16933,1295,15284,1476,15120,1323,15687,1245,6692,832,1235,434,11221,2124,5503,1496,43,72,0,187,239,246,1468,719,174,211,326,235,888,460,924,663,472,270,558,432,241,207,123,145,47,79,0,187,5718,1375,0,187,60,99,695,411,441,353,417,367,794,617,1130,918,382,250,817,618,89,134,372,401,266,232,245,179,10,23,28605,1743,0,187,0,187,0,187,0,187,57,96,63,76,231,187,329,215,822,361,1256,483,2250,632,5623,910,10426,1231,7548,1202,40265,3504,0,187,0,187,130,134,953,494,2414,769,3522,986,5371,1332,5641,1121,6312,1216,3919,915,4760,1039,5150,915,1323,432,770,436
310M100US10500,10500,"Albany, GA Metro Area",124957,3251,57805,2068,24663,2114,3012,628,2897,915,5713,859,3438,631,2988,825,1498,714,2044,720,1052,322,662,281,411,282,802,592,146,195,0,225,0,225,25720,1901,22661,1728,0,225,0,225,723,533,734,383,1806,655,2426,815,2003,586,2229,538,2480,690,2262,539,2384,623,3639,518,1814,358,161,121,3059,936,1695,653,0,225,0,225,0,225,33,60,119,148,0,225,532,548,131,116,232,172,131,152,141,147,154,147,174,206,48,86,1364,545,0,225,0,225,51,91,114,124,314,347,258,247,273,231,12,22,97,152,51,66,84,110,66,77,0,225,44,93,1434,476,0,225,0,225,0,225,0,225,0,225,0,225,0,225,0,225,31,50,49,100,195,187,694,362,309,229,156,151,5988,1133,0,225,0,225,45,82,211,211,344,164,640,388,183,180,281,185,1528,605,1376,603,928,431,211,155,241,227,0,225,67152,1864,24108,2208,2776,661,2475,622,5133,1050,3100,895,2516,595,2028,545,1586,589,1168,616,1340,501,630,330,535,297,619,499,71,89,131,162,26739,2219,22596,1933,0,225,49,73,775,533,1868,911,1745,603,2745,804,1672,539,2635,656,3033,807,2233,562,1739,473,2935,597,1138,412,29,50,4143,872,3147,775,0,225,0,225,375,323,76,101,109,164,919,496,385,211,278,253,319,196,541,318,49,40,96,124,0,225,0,225,996,526,0,225,84,138,55,109,87,107,295,374,11,17,120,117,147,218,72,111,7,13,41,64,25,51,0,225,52,83,6542,948,0,225,0,225,0,225,222,347,89,156,0,225,60,70,52,83,222,214,205,155,319,211,1578,434,2173,412,1622,558,9763,1536,0,225,0,225,272,286,1361,594,393,425,744,505,273,195,1189,505,952,493,2080,815,1268,557,816,396,415,249,0,225
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",724390,1031,350345,1195,136224,3225,18034,916,16229,1033,33227,1239,20117,1357,10978,1567,8604,1734,7568,1490,6414,1309,4945,1137,4541,1059,2289,729,2010,730,1182,597,86,73,176400,4797,163024,4701,0,192,0,192,902,454,5491,1117,12699,1464,12242,1695,16947,1897,20453,1650,20603,1479,20527,1796,17957,1670,20946,1080,11302,966,2955,687,13376,2247,6606,1428,0,192,0,192,95,119,417,437,233,201,409,300,646,322,1154,532,952,391,1246,561,749,515,449,289,256,149,0,192,6770,1489,94,151,0,192,298,376,749,494,524,394,663,400,570,332,866,481,599,367,617,447,360,391,616,358,548,311,266,213,10518,1353,0,192,0,192,0,192,130,183,0,192,0,192,44,72,380,244,467,377,1102,628,971,427,2101,582,2561,675,2762,645,27203,2482,0,192,0,192,0,192,665,365,1057,576,1970,696,3744,1017,4102,988,4987,1041,4051,843,2555,714,3150,747,835,332,87,83,374045,1088,123572,4066,16483,736,14521,1109,29345,1651,18796,1780,10224,1212,4398,1094,7221,1642,5393,999,5446,1086,3492,646,3587,1009,1908,571,1882,748,876,392,175859,4806,158691,5062,0,192,310,317,1351,472,7456,1146,12507,1291,13782,1691,19032,1788,20733,1455,19780,1413,19798,1559,15905,1599,18366,1254,7948,1003,1723,507,17168,2103,10022,1695,0,192,0,192,230,372,484,390,878,426,941,432,1264,492,2293,949,1830,638,732,520,588,317,465,338,188,231,129,157,7146,1643,0,192,174,301,1022,778,637,364,705,435,844,579,1120,757,284,215,617,516,567,498,401,230,636,313,77,106,62,89,37001,2168,0,192,24,47,0,192,0,192,59,99,238,179,372,279,888,509,1058,614,1524,640,2910,725,7903,1203,11786,1246,10239,1241,37613,3124,0,192,0,192,173,275,405,302,1469,531,2868,982,3662,900,4677,1040,6329,1335,5371,925,4980,1152,4682,881,1805,748,1192,494
310M100US10740,10740,"Albuquerque, NM Metro Area",716466,2108,349777,1616,127922,4418,18933,627,12772,1264,27039,1957,22307,1671,13527,1593,7554,1558,5410,1114,6413,1711,5503,1058,3960,1336,1484,640,2161,748,454,227,405,398,166412,5175,152972,5100,0,198,115,135,2497,787,7681,1433,13395,1544,15380,2284,16013,1866,15957,1475,17867,1667,16713,2092,16155,1773,20004,1246,9551,1020,1644,594,13440,1994,4603,1130,106,180,0,198,0,198,351,315,571,409,763,541,736,529,530,353,186,158,452,404,367,298,357,296,78,98,106,143,8837,1667,0,198,196,277,1312,788,375,302,1133,489,463,356,430,271,1231,613,998,589,644,336,415,470,776,394,420,376,444,273,9514,1517,0,198,0,198,0,198,0,198,44,75,208,325,30,55,619,488,533,384,430,287,1048,376,1833,700,3160,791,1609,645,45929,3384,0,198,0,198,1302,801,1910,803,1963,786,4807,1487,5439,1634,5263,1210,5931,1337,6531,1137,5499,1094,4690,1027,1968,791,626,535,366689,1474,116204,4144,17131,822,12826,1030,24739,1811,17129,1720,11237,1625,5519,1221,6002,1510,5608,1234,4315,1115,4376,1148,3112,744,2486,853,1441,831,283,202,165871,5979,148573,6319,50,79,42,49,4172,1121,10627,1665,14784,1816,15603,2115,13577,1854,16452,1541,18302,1698,16478,1577,13512,1624,17014,1452,6612,999,1348,651,17298,2810,8415,2089,0,198,0,198,573,535,764,605,637,476,508,397,799,540,1248,693,1252,944,1301,693,711,506,446,399,176,177,0,198,8883,2083,120,196,61,102,646,499,1630,803,249,202,1219,989,1040,696,309,199,917,539,719,440,754,629,865,558,84,95,270,210,29097,2097,0,198,0,198,0,198,70,91,7,12,201,211,158,231,1009,482,1626,670,1918,578,2272,798,6039,1015,9112,1229,6685,1263,55517,4122,0,198,0,198,326,351,1356,630,3918,1347,4901,1571,6424,1407,6877,1238,7291,1449,6749,1266,7204,1354,7100,1427,2531,618,840,477
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",674826,480,325598,778,109877,3241,18154,681,12320,1003,25005,1129,15032,1362,9015,1405,5781,1251,4286,840,7011,1403,4804,1287,2634,666,2559,618,2101,532,692,352,483,288,179252,4114,166462,4606,0,193,0,193,721,559,5842,1150,10601,1492,16673,1669,17083,1606,20650,1758,21215,1425,19518,1588,18219,1593,20826,1403,11824,1075,3290,791,12790,1914,6462,1467,0,193,0,193,261,315,429,441,1248,655,1366,921,743,363,465,272,443,310,758,425,511,319,159,123,79,132,0,193,6328,1475,65,108,82,112,250,249,449,386,354,210,983,768,653,427,277,172,293,367,234,205,660,437,1087,674,487,340,454,388,9926,1419,0,193,0,193,0,193,0,193,0,193,0,193,316,441,25,42,183,173,607,385,647,434,2716,874,2761,693,2671,651,26543,2237,0,193,0,193,0,193,600,377,2262,817,2069,754,2762,747,3357,827,4823,976,4840,1179,2216,692,2301,675,889,378,424,399,349228,801,95061,3274,16020,702,12209,877,22548,1036,13799,1305,6433,1114,4570,1257,4070,831,3343,737,3643,1050,2296,762,2491,711,1824,535,850,383,965,450,181219,4728,165105,4909,0,193,45,85,1255,413,7446,1407,13676,1320,16620,1582,19172,1956,21682,1784,19739,1385,19265,1520,15518,1594,18816,1223,9481,1391,2390,743,16114,2181,10251,1664,0,193,0,193,217,183,212,161,1677,1026,931,512,1147,509,1806,643,2076,742,568,312,893,546,441,357,194,172,89,146,5863,1389,0,193,0,193,528,399,728,461,527,346,478,442,290,217,498,413,548,429,275,233,720,542,530,370,174,211,567,328,37014,2628,0,193,0,193,0,193,47,81,307,319,0,193,392,281,868,687,1406,605,2283,828,2199,599,7234,1164,12678,1380,9600,1024,35934,2605,0,193,0,193,50,82,669,345,1406,579,2163,636,4630,1209,4546,999,5956,1074,5297,1150,3842,975,4796,852,1969,588,610,400
310M100US11020,11020,"Altoona, PA Metro Area",105221,344,50360,493,15263,1141,2270,10,1875,118,3558,474,2078,507,1409,462,1149,501,731,400,403,299,758,350,500,261,275,194,176,148,54,79,27,45,27232,1486,24852,1546,0,168,0,168,579,399,1059,490,1892,419,2047,525,2129,537,2703,512,2847,421,2992,625,2866,585,3706,442,1726,441,306,169,2380,573,1122,409,0,168,0,168,0,168,67,106,49,59,117,142,64,105,98,115,333,278,145,214,14,23,141,117,94,104,0,168,1258,428,0,168,0,168,52,91,2,4,0,168,0,168,78,98,190,186,166,145,279,261,57,64,38,46,201,177,195,120,2664,617,0,168,0,168,0,168,115,173,0,168,0,168,167,149,0,168,54,73,363,257,216,171,385,228,761,369,603,296,5201,841,0,168,0,168,0,168,67,80,231,160,555,418,830,439,940,426,686,325,326,181,676,298,723,381,143,174,24,41,54861,473,13165,1375,2308,179,1545,119,2736,614,2054,475,814,357,667,299,283,168,380,236,706,450,523,308,367,322,344,256,366,275,72,85,28069,1951,25891,1994,0,168,0,168,1043,568,1263,365,2116,464,2097,554,2852,551,2937,521,2931,579,2411,531,2940,619,3481,417,1558,528,262,163,2178,705,644,293,0,168,0,168,49,86,93,123,71,93,16,27,74,97,133,164,77,94,56,93,75,126,0,168,0,168,0,168,1534,579,38,64,85,119,18,31,214,194,171,216,304,348,150,140,61,72,47,80,97,113,0,168,0,168,178,176,171,258,6614,807,0,168,0,168,0,168,0,168,0,168,0,168,0,168,89,107,175,173,230,134,609,266,1565,347,2388,486,1558,492,7013,1041,0,168,0,168,0,168,99,83,708,385,454,435,621,305,996,416,891,504,1456,626,504,238,640,311,583,293,61,67
310M100US11100,11100,"Amarillo, TX Metro Area",198528,1114,97687,877,29319,1747,4961,316,4286,747,7517,986,4383,803,2206,644,1411,493,1277,451,1215,497,690,357,477,287,220,175,508,342,99,100,69,98,53451,2459,49208,2539,0,218,0,218,1298,652,3775,838,5211,825,5782,1030,4373,798,5143,762,5571,655,4727,861,4211,768,5517,662,3217,451,383,189,4243,1035,1556,539,0,218,0,218,0,218,270,277,202,143,252,288,150,143,182,197,332,236,83,100,85,106,0,218,0,218,0,218,2687,884,0,218,0,218,72,92,242,241,179,163,702,523,351,243,108,109,419,351,86,110,73,121,0,218,369,250,86,89,2714,710,0,218,0,218,0,218,0,218,207,249,0,218,103,127,130,146,0,218,445,400,110,146,585,336,875,392,259,150,12203,1485,0,218,0,218,226,259,887,442,740,401,1152,544,1503,553,1813,620,1486,486,1624,661,1545,623,975,375,252,204,0,218,100841,812,25423,1892,5336,388,3807,743,7417,955,3451,821,1783,695,645,340,1203,459,785,383,324,207,199,182,208,287,214,204,0,218,51,86,53126,2473,48166,2508,0,218,220,211,1830,702,3227,769,5076,859,5622,1031,4316,826,5243,862,5791,597,5091,894,4230,927,5304,689,2065,576,151,99,4960,952,2968,767,0,218,0,218,69,113,281,224,604,395,589,371,412,306,221,185,95,106,251,257,246,206,200,167,0,218,0,218,1992,623,0,218,0,218,410,281,143,169,200,187,276,260,46,75,356,275,129,106,39,60,152,143,0,218,229,246,12,28,9302,1114,0,218,0,218,0,218,0,218,34,59,0,218,57,92,354,326,19,34,770,372,918,516,1791,676,2861,553,2498,604,12990,1579,0,218,0,218,312,361,1261,643,1441,454,949,497,1199,470,1492,569,1848,513,1028,521,1562,610,1465,516,399,249,34,63
310M100US11260,11260,"Anchorage, AK Metro Area",302465,1052,152109,779,54075,2903,7867,579,5090,617,13163,1185,9095,1380,4890,1073,3149,993,3383,933,2246,855,2402,864,1699,670,501,321,322,316,167,143,101,129,77405,3612,69971,3768,0,149,55,94,2654,952,5077,1146,6734,1297,6778,1470,7712,1257,8965,992,7765,1399,9536,1224,6205,1035,5677,742,2595,490,218,125,7434,1576,2542,858,0,149,0,149,0,149,181,238,658,449,188,238,431,442,130,145,234,239,555,398,134,158,31,57,0,149,0,149,4892,1350,5,12,120,190,330,276,854,641,234,155,411,517,460,449,92,90,331,341,172,166,150,245,1342,632,391,283,0,149,2323,824,0,149,0,149,0,149,0,149,0,149,0,149,0,149,148,173,156,135,273,340,424,469,388,298,458,257,476,323,18306,2271,0,149,0,149,400,349,1631,758,1555,655,1383,479,1598,690,2440,739,3365,1067,1725,638,1936,733,1648,804,568,334,57,96,150356,1000,42495,2598,8841,729,3984,569,9359,1034,6359,1237,4399,1162,2545,855,1796,649,2139,789,1051,458,1006,572,562,298,296,240,128,107,30,52,77996,3165,70882,3449,0,149,129,103,3794,901,7267,1278,7026,1144,7597,1420,8368,1432,8664,966,8528,871,7552,1191,5400,962,5118,858,1375,575,64,69,7114,1269,3156,897,0,149,0,149,122,163,427,499,442,312,514,265,124,144,292,249,550,382,318,272,101,148,157,186,109,118,0,149,3958,966,5,13,80,102,327,252,371,213,36,57,406,357,496,354,223,199,438,359,604,431,365,357,331,317,236,242,40,51,7956,1088,0,149,0,149,0,149,229,372,0,149,122,174,174,244,90,91,610,334,538,301,623,279,2237,614,1978,583,1355,487,21909,2692,0,149,0,149,1105,571,755,526,993,454,2271,770,2092,857,2585,752,3347,784,3388,892,2206,914,2338,631,614,298,215,242
